date,region,ISO3,ais_portcalls_container,ais_portcalls_general_cargo,ais_portcalls_dry_bulk,ais_portcalls_roro,ais_portcalls_tanker,ais_import_tanker,ais_export_tanker,ais_import_dry_bulk,ais_export_dry_bulk,ais_import_container,ais_export_container,ais_import_general_cargo,ais_export_general_cargo,ais_import_roro,ais_export_roro,value_import_total,value_export_total,volume_export_total,volume_import_total,trade_value,trade_volume,ObjectId
2020-03-20,China,CHN,6205.0,2200.0,5754.0,452.0,4698.0,40218689.5807633,13745896.0290801,177241645.333516,64330767.0348942,71069623.4121827,95961810.8517916,3813426.68786864,3380154.80624433,246458.22918206,299847.26492412,98.2332768626903,98.3662146669505,98.9559501272332,99.0989513385907,98.3205593786107,99.027450732912,2928.0
2020-03-27,China,CHN,6205.0,2200.0,5754.0,452.0,4698.0,40218689.5807633,13745896.0290801,177241645.333516,64330767.0348942,71069623.4121827,95961810.8517916,3813426.68786864,3380154.80624433,246458.22918206,299847.26492412,98.2332768626903,98.3662146669505,98.9559501272332,99.0989513385907,98.3205593786107,99.027450732912,2928.0
2020-04-03,China,CHN,6205.0,2200.0,5754.0,452.0,4698.0,40218689.5807633,13745896.0290801,177241645.333516,64330767.0348942,71069623.4121827,95961810.8517916,3813426.68786864,3380154.80624433,246458.22918206,299847.26492412,98.2332768626903,98.3662146669505,98.9559501272332,99.0989513385907,98.3205593786107,99.027450732912,2928.0
2020-04-10,China,CHN,6205.0,2200.0,5754.0,452.0,4698.0,40218689.5807633,13745896.0290801,177241645.333516,64330767.0348942,71069623.4121827,95961810.8517916,3813426.68786864,3380154.80624433,246458.22918206,299847.26492412,98.2332768626903,98.3662146669505,98.9559501272332,99.0989513385907,98.3205593786107,99.027450732912,2928.0
2020-04-17,China,CHN,6205.0,2200.0,5754.0,452.0,4698.0,40218689.5807633,13745896.0290801,177241645.333516,64330767.0348942,71069623.4121827,95961810.8517916,3813426.68786864,3380154.80624433,246458.22918206,299847.26492412,98.2332768626903,98.3662146669505,98.9559501272332,99.0989513385907,98.3205593786107,99.027450732912,2928.0
2020-04-24,China,CHN,6205.0,2200.0,5754.0,452.0,4698.0,40218689.5807633,13745896.0290801,177241645.333516,64330767.0348942,71069623.4121827,95961810.8517916,3813426.68786864,3380154.80624433,246458.22918206,299847.26492412,98.2332768626903,98.3662146669505,98.9559501272332,99.0989513385907,98.3205593786107,99.027450732912,2928.0
2020-05-01,China,CHN,5880.0,2334.0,5986.0,389.0,5044.0,43041565.3053821,12762098.5402071,191656800.385344,66132406.3108368,74330682.4707488,95607157.8132463,3875245.17842289,3292810.24888382,166671.433659531,264006.401709253,98.4963049831769,96.0926933320299,98.7590931223874,104.483916853228,96.9181739663807,101.621504987808,2934.0
2020-05-08,China,CHN,5880.0,2334.0,5986.0,389.0,5044.0,43041565.3053821,12762098.5402071,191656800.385344,66132406.3108368,74330682.4707488,95607157.8132463,3875245.17842289,3292810.24888382,166671.433659531,264006.401709253,98.4963049831769,96.0926933320299,98.7590931223874,104.483916853228,96.9181739663807,101.621504987808,2934.0
2020-05-15,China,CHN,5880.0,2334.0,5986.0,389.0,5044.0,43041565.3053821,12762098.5402071,191656800.385344,66132406.3108368,74330682.4707488,95607157.8132463,3875245.17842289,3292810.24888382,166671.433659531,264006.401709253,98.4963049831769,96.0926933320299,98.7590931223874,104.483916853228,96.9181739663807,101.621504987808,2934.0
2020-05-22,China,CHN,5880.0,2334.0,5986.0,389.0,5044.0,43041565.3053821,12762098.5402071,191656800.385344,66132406.3108368,74330682.4707488,95607157.8132463,3875245.17842289,3292810.24888382,166671.433659531,264006.401709253,98.4963049831769,96.0926933320299,98.7590931223874,104.483916853228,96.9181739663807,101.621504987808,2934.0
2020-05-29,China,CHN,5880.0,2334.0,5986.0,389.0,5044.0,43041565.3053821,12762098.5402071,191656800.385344,66132406.3108368,74330682.4707488,95607157.8132463,3875245.17842289,3292810.24888382,166671.433659531,264006.401709253,98.4963049831769,96.0926933320299,98.7590931223874,104.483916853228,96.9181739663807,101.621504987808,2934.0
2020-06-05,China,CHN,5880.0,2334.0,5986.0,389.0,5044.0,43041565.3053821,12762098.5402071,191656800.385344,66132406.3108368,74330682.4707488,95607157.8132463,3875245.17842289,3292810.24888382,166671.433659531,264006.401709253,98.4963049831769,96.0926933320299,98.7590931223874,104.483916853228,96.9181739663807,101.621504987808,2934.0
2020-06-12,China,CHN,5880.0,2334.0,5986.0,389.0,5044.0,43041565.3053821,12762098.5402071,191656800.385344,66132406.3108368,74330682.4707488,95607157.8132463,3875245.17842289,3292810.24888382,166671.433659531,264006.401709253,98.4963049831769,96.0926933320299,98.7590931223874,104.483916853228,96.9181739663807,101.621504987808,2934.0
2020-06-19,China,CHN,5880.0,2334.0,5986.0,389.0,5044.0,43041565.3053821,12762098.5402071,191656800.385344,66132406.3108368,74330682.4707488,95607157.8132463,3875245.17842289,3292810.24888382,166671.433659531,264006.401709253,98.4963049831769,96.0926933320299,98.7590931223874,104.483916853228,96.9181739663807,101.621504987808,2934.0
2020-06-26,China,CHN,5880.0,2334.0,5986.0,389.0,5044.0,43041565.3053821,12762098.5402071,191656800.385344,66132406.3108368,74330682.4707488,95607157.8132463,3875245.17842289,3292810.24888382,166671.433659531,264006.401709253,98.4963049831769,96.0926933320299,98.7590931223874,104.483916853228,96.9181739663807,101.621504987808,2934.0
2020-07-03,China,CHN,5880.0,2334.0,5986.0,389.0,5044.0,43041565.3053821,12762098.5402071,191656800.385344,66132406.3108368,74330682.4707488,95607157.8132463,3875245.17842289,3292810.24888382,166671.433659531,264006.401709253,98.4963049831769,96.0926933320299,98.7590931223874,104.483916853228,96.9181739663807,101.621504987808,2934.0
2020-07-10,China,CHN,5880.0,2334.0,5986.0,389.0,5044.0,43041565.3053821,12762098.5402071,191656800.385344,66132406.3108368,74330682.4707488,95607157.8132463,3875245.17842289,3292810.24888382,166671.433659531,264006.401709253,98.4963049831769,96.0926933320299,98.7590931223874,104.483916853228,96.9181739663807,101.621504987808,2934.0
2020-07-17,China,CHN,5880.0,2334.0,5986.0,389.0,5044.0,43041565.3053821,12762098.5402071,191656800.385344,66132406.3108368,74330682.4707488,95607157.8132463,3875245.17842289,3292810.24888382,166671.433659531,264006.401709253,98.4963049831769,96.0926933320299,98.7590931223874,104.483916853228,96.9181739663807,101.621504987808,2934.0
2020-07-24,China,CHN,5880.0,2334.0,5986.0,389.0,5044.0,43041565.3053821,12762098.5402071,191656800.385344,66132406.3108368,74330682.4707488,95607157.8132463,3875245.17842289,3292810.24888382,166671.433659531,264006.401709253,98.4963049831769,96.0926933320299,98.7590931223874,104.483916853228,96.9181739663807,101.621504987808,2934.0
2020-07-31,China,CHN,5880.0,2334.0,5986.0,389.0,5044.0,43041565.3053821,12762098.5402071,191656800.385344,66132406.3108368,74330682.4707488,95607157.8132463,3875245.17842289,3292810.24888382,166671.433659531,264006.401709253,98.4963049831769,96.0926933320299,98.7590931223874,104.483916853228,96.9181739663807,101.621504987808,2934.0
