region,ISO3,date,ais_portcalls_container,ais_portcalls_general_cargo,ais_portcalls_dry_bulk,ais_portcalls_roro,ais_portcalls_tanker,ais_import_tanker,ais_export_tanker,ais_import_dry_bulk,ais_export_dry_bulk,ais_import_container,ais_export_container,ais_import_general_cargo,ais_export_general_cargo,ais_import_roro,ais_export_roro,value_import_total,value_export_total,volume_export_total,volume_import_total,trade_value,trade_volume,ObjectId
China,CHN,2019/10/01,6019,2389,5874,464,5385,48471103.1319391,16350974.7181693,181568997.471811,64147391.4370116,74020543.6213604,98872740.5727159,4327112.32579247,3522242.74545139,218599.279165316,277601.201959033,103.02862714933,101.513213294302,102.129224974253,104.497844475609,102.033657098007,103.313534724931,2927
China,CHN,2019/11/01,6205,2200,5754,452,4698,40218689.5807633,13745896.0290801,177241645.333516,64330767.0348942,71069623.4121827,95961810.8517916,3813426.68786864,3380154.80624433,246458.22918206,299847.26492412,98.2332768626903,98.3662146669505,98.9559501272332,99.0989513385907,98.3205593786107,99.027450732912,2928
China,CHN,2019/12/01,6225,2171,5864,472,4963,43175892.6148944,13885821.3088111,182016660.023101,65483535.9171066,66887298.0242133,92139501.3831804,3835182.0706699,3246792.92249139,243680.974284315,353333.39229972,94.7404868445661,94.685351129901,95.3762642829523,95.4802362438966,94.7042865784354,95.4282502634244,2929
China,CHN,2020/01/01,5899,1945,5780,392,4878,44983118.4711746,14968530.9241605,180877993.674633,64223566.2889244,68544983.5354829,98380386.9232107,3330475.26103313,2799315.0318085,205821.384386604,219322.570184313,96.2145889924251,100.360600390994,100.755734604706,96.9063299190103,98.9367214055168,98.8310322618584,2930
China,CHN,2020/02/01,4531,1647,4668,222,4028,36062969.2346275,11082924.9594713,152588004.960236,51622953.5265975,51349185.0963489,56744423.4296573,3146389.23066529,2501239.22340727,120235.490049398,128565.48374752,72.3585497984438,59.2105648184074,60.0198887852227,74.7330033657864,63.7260226198276,67.3764460755045,2931
China,CHN,2020/03/01,6027,2097,5411,324,4375,35817289.3378457,13164079.4704583,169662173.926219,58840574.4150063,68129818.4734602,92494669.3759462,3563987.36726177,3377085.7787954,149009.95363065,233172.320894357,89.7662653770776,93.368129376129,95.4926074441563,95.1541371467482,92.131128807687,95.3233722954523,2932
China,CHN,2020/04/01,6019,2262,5702,405,4743,41618491.0115651,12703909.2900757,172286961.982722,62758837.339337,68897297.0843168,91232759.5534355,3630509.87179261,3423259.18446202,200941.008459994,314763.098552899,90.3653942864829,91.8665695118367,94.5854927528537,96.7668102381125,91.3510157297997,95.6761514954831,2933
China,CHN,2020/05/01,5880,2334,5986,389,5044,43041565.3053821,12762098.5402071,191656800.385344,66132406.3108368,74330682.4707488,95607157.8132463,3875245.17842289,3292810.24888382,166671.433659531,264006.401709253,98.4963049831769,96.0926933320299,98.7590931223874,104.483916853228,96.9181739663807,101.621504987808,2934
China,CHN,2020/06/01,5923,2302,6094,440,5147,49750910.1241698,14223398.2391126,194086682.741865,67239636.4663774,77022518.5602137,100581774.261642,3988546.02118359,3252372.7539266,200649.631093734,302691.355193244,104.093860837074,101.588750548732,103.660005923426,108.564810270671,102.44908920991,106.112408097049,2935
China,CHN,2020/07/01,6360,2405,6099,468,5071,46782584.5418596,14167755.7851698,201480957.59466,68162321.3760257,79232369.2914085,107390462.173966,4219869.70829673,3218356.12407018,230284.946024996,291765.177788187,107.795346936969,108.498598779081,110.120843371178,111.428671016474,108.257078574909,110.774757193826,2936
China,CHN,2020/08/01,6171,2228,5917,403,4859,46189740.6744956,13494865.8153297,189569140.296614,63307888.7720154,78789517.1278065,107741546.560861,4173834.24754248,3194251.96916641,218801.720272869,277529.381078037,107.872317759082,109.478294150689,110.085344406735,110.022675494823,108.926748142887,110.054009950779,2937
China,CHN,2020/09/01,5896,2334,5901,442,4906,39065722.5718036,15244425.7960865,191108362.265556,63581672.3373628,79526857.9310599,109673910.960258,4644514.24529388,3337747.13795429,223623.578918186,307876.146995889,108.296032643729,111.662025466564,112.254650269917,110.573806460006,110.506030949193,111.414228364962,2938
China,CHN,2020/10/01,5897,2195,6090,387,4624,37305430.1626709,13917498.0706003,192893320.066142,67184417.0792223,81302724.6827767,108512266.463314,3973566.82473265,3209990.43041518,196247.015956779,273221.189264054,110.905722441157,111.367315961203,111.083938571146,111.651712133225,111.208789307549,111.367825352186,2939
China,CHN,2020/11/01,5721,2257,5786,415,4625,40517620.3744766,13658274.6416707,180477563.280225,66814542.3680775,76669558.4937396,104663154.025613,3976827.53492917,3052278.94080101,207954.500210047,246525.087528144,107.143756946476,108.502833595542,107.22863252326,106.175143024302,108.036081217359,106.701887773781,2940
China,CHN,2020/12/01,5677,2208,5846,425,4515,37631132.0334366,13214867.9985741,180094128.130806,66293907.5803006,72656830.8966238,99687367.4554137,3706544.00594141,3036457.96883741,222738.703723073,278738.952567724,103.958741486665,104.710644105254,102.482794622762,101.116497199514,104.452415597222,101.799645911138,2941
China,CHN,2021/01/01,5764,2220,6268,426,4711,40153885.4071386,13142945.8231577,191254220.601523,74548804.3263072,78878543.1301611,106689964.247681,4123976.62867129,3172956.34203572,186675.046714922,308486.843316428,115.360480267617,113.748198443799,109.721009896316,109.383948429699,114.30190994792,109.552479163007,2942
China,CHN,2021/02/01,5100,1706,5531,354,4538,43792744.4810128,12419642.5200106,174353587.726512,62956503.4405218,62121500.9510489,84218463.4467708,3085822.70659996,2734768.073539,158051.101539484,283556.098300208,95.7656768983587,91.2568981302192,87.4024586473167,89.8660382827922,92.8053635638493,88.6342484650545,2943
China,CHN,2021/03/01,6318,2380,6324,429,5357,48892022.2148692,16211284.4387301,188391501.862506,72061665.9679882,78290752.7694827,104679238.54697,4030478.82402248,3531266.14843269,221971.93825297,318241.282673987,117.876467209912,113.81839522413,108.411468816012,109.897323275865,115.212072873956,109.154396045938,2944
China,CHN,2021/04/01,6225,2410,6228,409,5175,42413334.8611089,15561082.2740258,181311719.124005,71771232.5072912,78544634.6483007,108045206.00412,4117971.27560867,3622531.47265641,218633.899374654,316316.885199343,119.109685945199,119.063649738577,111.527820707045,108.568853997792,119.079460111699,110.048337352418,2945
China,CHN,2021/05/01,6261,2502,6615,447,5326,42452508.0305446,15240000.9189182,198208024.784589,75719473.079406,81955257.7946936,109003916.332476,4579353.38973782,3715072.82678404,207930.201795761,339996.060028679,128.765503642923,122.753325969295,112.770637416456,113.968432178132,124.818108871095,113.369534797294,2946
China,CHN,2021/06/01,5639,2434,6296,449,5315,45764757.7196805,14647392.8304009,189212159.251002,69756612.5325413,81141085.8977692,107523604.323698,4027191.52939792,3518910.06097325,219930.194921018,350079.258765677,128.939010092279,121.628996022057,110.701392317654,112.49324769508,124.139499351046,111.597320006367,2947
China,CHN,2021/07/01,5479,2200,5574,428,4906,38940320.4617956,13801729.6834376,170380156.091394,65614749.2703719,76286874.4160944,103895315.805136,3353795.27976919,3353514.68016167,206110.333370848,360692.012412798,119.900794064967,117.573839642319,106.756556943582,103.867742827112,118.372993620457,105.312149885347,2948
China,CHN,2021/08/01,5433,2148,6058,435,5007,38491442.1110082,14341974.4160825,193790881.274608,64479840.813406,79277139.3629561,108953735.483098,3887079.01286389,3426739.18849517,179292.555248019,430677.759608205,126.858627410195,123.815099897508,111.5908681915,109.23317749984,124.860349041911,110.41202284567,2949
China,CHN,2021/09/01,4844,1960,5604,404,4261,33573604.9311269,13101299.2372046,175414665.967664,61955484.0788684,74571034.3276964,104817317.360401,3610722.33023451,3297750.44357735,162937.957762697,352846.073533322,119.636605925475,119.543751846884,107.164331375855,101.557325093844,119.575641043153,104.36082823485,2950
China,CHN,2021/10/01,5142,1961,6068,367,4454,36658102.1939659,12442999.4442067,188104864.026579,71096651.1822242,77464796.9712177,105254268.539127,3606514.92858527,3150756.74983883,128344.910818178,417765.72322728,128.558844114051,121.885314972792,108.002911025902,106.258778029908,124.17722808873,107.130844527905,2951
China,CHN,2021/11/01,5414,2188,5986,447,5105,44157984.5437586,15013834.3862911,186420902.870284,66078901.0362255,72529762.0413969,103377126.772447,3838841.48161402,3484855.37330213,190380.788935289,394192.17644494,123.980921548458,120.722133210291,106.740031875478,103.368227443555,121.84131012197,105.054129659516,2952
China,CHN,2021/12/01,5791,2216,6493,433,5604,52431627.9713976,17144306.7665555,198214767.071624,75323631.0194259,67035509.1353776,99317329.3710645,3494883.3156168,3549751.50501729,203685.012362166,364696.746742752,121.394446752271,118.077288427748,104.124585516754,100.576507734259,119.216511545036,102.350546625506,2953
