date,year,month,day,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity,ObjectId
2019/03/12 00:00:00+00,2019,3,12,chokepoint1,Suez Canal,15,11,3,1,20,30,50,927741.661558631,531797.278004455,19989.510796224,4168.27957260813,1169269.55679009,1483696.72993192,2652966.28672201,71
2019/03/13 00:00:00+00,2019,3,13,chokepoint1,Suez Canal,21,7,1,3,9,32,41,1568992.54256372,284551.831797997,1458.65493659988,12963.9882570998,500065.592117302,1867967.01755541,2368032.60967271,72
2019/03/14 00:00:00+00,2019,3,14,chokepoint1,Suez Canal,11,16,5,3,22,35,57,732226.093012925,624191.958323753,25146.8988919796,13607.0854197836,1234394.48958637,1395172.03564844,2629566.52523481,73
2019/03/15 00:00:00+00,2019,3,15,chokepoint1,Suez Canal,17,8,2,5,17,32,49,1026372.62767776,371248.416376094,10130.2826997287,25373.3865293169,691391.96002096,1433124.7132829,2124516.67330386,74
2019/03/16 00:00:00+00,2019,3,16,chokepoint1,Suez Canal,13,11,6,2,11,32,43,907953.343954024,558461.359454361,39496.7231557722,7282.5597705896,449212.258969513,1513193.98633475,1962406.24530426,75
2019/03/17 00:00:00+00,2019,3,17,chokepoint1,Suez Canal,18,4,4,2,14,28,42,983672.471863705,198385.71561271,33332.6488428114,8151.21604768435,624030.578922829,1223542.05236691,1847572.63128974,76
2019/03/18 00:00:00+00,2019,3,18,chokepoint1,Suez Canal,17,8,4,1,11,30,41,898410.184917598,354130.676277172,14040.4542003963,2811.27197946422,435765.075904315,1269392.58737463,1705157.66327894,77
2019/03/19 00:00:00+00,2019,3,19,chokepoint1,Suez Canal,16,13,11,1,22,41,63,935164.553373313,674277.676037558,50966.7940623855,10202.4934950816,944202.019936413,1670611.51696834,2614813.53690475,78
2019/03/20 00:00:00+00,2019,3,20,chokepoint1,Suez Canal,26,1,0,2,17,29,46,1796838.43656284,28921.1809358536,0,5851.60797069701,1411842.94384959,1831611.22546939,3243454.16931898,79
2019/03/21 00:00:00+00,2019,3,21,chokepoint1,Suez Canal,10,15,3,2,12,30,42,631254.06888669,795918.548960552,5717.77068167932,0,484700.094503087,1432890.38852892,1917590.48303201,80
